site_web;nom_restaurant;ville;code_postal;score_anciennete;non_responsive;sans_https;techno;copyright;indices_anciennete
http://nikko-lyon.fr;Nikko;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://legrainderiz.free.fr;Le grain de riz;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://leclosdelecuyer.fr;Le Clos de l'Écuyer;;;5;oui;oui;—;2025;non responsive | pas de HTTPS
http://restaurantmarcel.fr;Marcel;;;5;oui;oui;—;—;non responsive | pas de HTTPS
http://amedelys.fr;Amédélys;;;5;oui;oui;—;2026;non responsive | pas de HTTPS
https://tienhang.tien-hiang.fr;Tien Hiang;;;5;oui;non;—;2020;non responsive | copyright 2020
https://restaurant-lepanoramic.fr;Le Panoramic;;;5;oui;non;—;2016;non responsive | copyright 2016
http://terrabaravins.fr;Terra bar à vins;;;5;oui;oui;—;—;non responsive | pas de HTTPS
https://mikespizza.fr;Mike's pizza;;;5;oui;non;provensite;1999;non responsive | copyright 1999
https://restaurant-chez-marguerite.fr;Marguerite;;;5;non;non;wordpress 5.5.19;2021;WordPress 5 | copyright 2021
https://l-iris.fr;L'Iris Restaurant;;;5;non;non;—;2003;balises désuètes: <font> | copyright 2003
https://yakasushi.fr;Yaka Sushi;;;5;non;non;—;2014;balises désuètes: bgcolor | copyright 2014
https://schwartzsdeli.fr;Schwartz's Deli;;;5;oui;non;—;2009;non responsive | copyright 2009
https://souber.fr;l'etaP;;;5;non;non;wordpress 5.9.15;2021;WordPress 5 | copyright 2021
https://www.oishi11.fr/;Oishi;;;5;non;non;wordpress 5.2.25;2013;WordPress 5 | copyright 2013
http://restaurant-hotel-lesenfantsterribles34.fr;Les Enfants Terribles;;;5;oui;oui;—;2026;non responsive | pas de HTTPS
https://www.les-frigos.fr/;La cantine de l'aiguillage;;;5;non;non;wordpress 7.0.3;2021;balises désuètes: <center> | copyright 2021
https://restaurant-orchidee-07.fr/accueil_2;L'Orchidée;;;5;non;non;—;2021;balises désuètes: <font> | copyright 2021
http://aldar.fr;Al Dar;;;5;oui;oui;—;2026;non responsive | pas de HTTPS
